"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"Lebanon","44,015","46,868","48,068","49,893","50,618","52,880","55,290","50,983","23,626","20,522","25,674","24,491","29,339","LBN"
"Lesotho","2,465","2,345","2,477","2,202","2,206","2,424","2,472","2,323","2,092","2,443","2,275","2,227","2,514","LSO"
"Liberia","2,675","3,044","3,090","3,092","3,256","3,321","3,264","3,080","3,037","3,509","3,974","4,390","4,778","LBR"
"Libya","92,542","75,355","57,384","48,718","49,913","67,153","76,682","69,237","46,893","35,216","43,281","43,958","49,349","LBY"
"Liechtenstein","5,909","6,273","6,533","6,154","6,118","6,375","6,693","6,437","6,405","7,913","7,427","8,239","8,465","LIE"
"Lithuania","42,736","46,321","48,388","41,548","42,952","47,745","54,295","55,132","57,352","67,103","70,687","80,392","85,482","LTU"
"Luxembourg","59,814","65,204","68,823","60,078","62,200","65,689","71,118","69,880","73,612","86,444","80,865","88,814","93,252","LUX"
"Macau","43,193","51,559","54,931","44,941","44,965","50,297","55,076","55,025","25,280","30,634","24,930","45,627","49,467","MAC"
"Madagascar","11,579","12,424","12,523","11,323","11,849","13,176","13,760","14,105","13,051","14,355","15,342","16,037","17,593","MDG"
"Malawi","8,421","7,648","8,526","9,014","7,733","8,943","9,882","11,031","11,847","12,475","12,531","13,439","11,790","MWI"
"Malaysia","318,910","327,869","342,868","301,355","301,256","319,109","358,783","365,178","337,456","373,785","407,830","399,949","422,227","MYS"
"Maldives","2,885","3,286","3,690","4,118","4,398","4,809","5,398","5,716","3,706","5,240","6,168","6,611","7,052","MDV"
"Mali","14,816","15,753","17,100","15,592","16,765","18,334","20,418","20,521","20,777","23,061","22,657","24,817","26,777","MLI"
"Malta","9,616","10,797","11,891","11,342","12,022","14,156","16,161","16,340","16,392","19,743","18,954","22,632","25,035","MLT"
"Marshall Islands","181","186","186","184","202","214","220","233","242","261","259","264","285","MHL"
"Mauritania","6,721","7,331","6,615","6,182","6,414","6,826","7,472","7,894","8,464","9,126","9,564","10,724","11,003","MRT"
"Mauritius","11,826","12,293","13,074","12,007","12,594","13,714","14,736","14,436","11,408","11,484","12,908","14,101","14,986","MUS"
"Mexico","1,255,110","1,327,436","1,364,508","1,213,294","1,112,233","1,190,721","1,256,300","1,304,106","1,121,065","1,316,569","1,466,935","1,794,410","1,830,489","MEX"
"Federated States of Micronesia","324","314","316","312","327","361","394","395","373","392","415","443","481","FSM"
"Moldova","8,708","9,496","9,402","7,778","7,981","9,515","11,252","11,737","11,530","13,694","14,524","16,711","18,208","MDA"
"Mongolia","12,278","12,582","12,227","11,620","11,154","11,481","13,207","14,206","13,313","15,286","17,146","20,315","23,795","MNG"
"Montenegro","4,074","4,422","4,581","4,011","4,356","4,802","5,436","5,484","4,730","5,827","6,265","7,646","8,272","MNE"
"Morocco","106,345","115,608","119,131","110,414","111,573","118,541","127,341","128,920","121,354","142,022","131,245","146,057","160,606","MAR"
"Mozambique","16,688","17,198","17,978","16,209","12,069","13,265","15,017","15,513","14,235","16,168","18,884","20,921","22,745","MOZ"
"Myanmar","58,374","62,656","65,404","59,330","62,839","66,083","67,491","75,282","77,026","55,260","67,437","66,821","76,759","MMR"
"Namibia","13,016","12,168","12,434","11,450","10,719","12,883","13,676","12,539","10,583","12,399","12,564","12,402","13,370","NAM"
